year,month,species_id,rodent_type,plot_type,captures
1992,2,DS,Kangaroo Rat,Control,0.03225806451612903
1992,2,PE,Granivore,Control,0.1935483870967742
1992,2,PE,Granivore,Long-term Krat Exclosure,0.06451612903225806
1992,2,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1992,2,RM,Granivore,Control,0.1935483870967742
1992,2,RM,Granivore,Long-term Krat Exclosure,0.0967741935483871
1992,3,DM,Kangaroo Rat,Control,0.7096774193548387
1992,3,DO,Kangaroo Rat,Control,0.16129032258064516
1992,3,DS,Kangaroo Rat,Control,0.03225806451612903
1992,3,PE,Granivore,Control,0.1935483870967742
1992,3,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,3,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1992,3,RM,Granivore,Control,0.16129032258064516
1992,3,RM,Granivore,Long-term Krat Exclosure,0.2903225806451613
1992,4,DM,Kangaroo Rat,Control,0.8709677419354839
1992,4,DO,Kangaroo Rat,Control,0.16129032258064516
1992,4,DS,Kangaroo Rat,Control,0.06451612903225806
1992,4,PE,Granivore,Control,0.06451612903225806
1992,4,PF,Granivore,Control,0.06451612903225806
1992,4,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,4,PP,Granivore,Long-term Krat Exclosure,0.0967741935483871
1992,4,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,5,DM,Kangaroo Rat,Control,1.4838709677419355
1992,5,DO,Kangaroo Rat,Control,0.1935483870967742
1992,5,DS,Kangaroo Rat,Control,0.0967741935483871
1992,5,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,5,PP,Granivore,Control,0.12903225806451613
1992,5,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1992,5,RM,Granivore,Control,0.03225806451612903
1992,5,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,7,DM,Kangaroo Rat,Control,1.032258064516129
1992,7,DO,Kangaroo Rat,Control,0.41935483870967744
1992,7,DS,Kangaroo Rat,Control,0.0967741935483871
1992,7,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1992,7,PP,Granivore,Control,0.3870967741935484
1992,7,PP,Granivore,Long-term Krat Exclosure,0.4838709677419355
1992,7,RM,Granivore,Control,0.06451612903225806
1992,7,RM,Granivore,Long-term Krat Exclosure,0.12903225806451613
1992,8,DM,Kangaroo Rat,Control,0.45161290322580644
1992,8,DO,Kangaroo Rat,Control,0.22580645161290322
1992,8,DS,Kangaroo Rat,Control,0.06451612903225806
1992,8,PF,Granivore,Control,0.03225806451612903
1992,8,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,8,PP,Granivore,Control,0.3225806451612903
1992,8,PP,Granivore,Long-term Krat Exclosure,0.25806451612903225
1992,8,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,9,DM,Kangaroo Rat,Control,0.6129032258064516
1992,9,DO,Kangaroo Rat,Control,0.12903225806451613
1992,9,DS,Kangaroo Rat,Control,0.06451612903225806
1992,9,PE,Granivore,Control,0.03225806451612903
1992,9,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,9,PF,Granivore,Control,0.0967741935483871
1992,9,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,9,PP,Granivore,Control,0.3548387096774194
1992,9,PP,Granivore,Long-term Krat Exclosure,0.0967741935483871
1992,9,RM,Granivore,Control,0.03225806451612903
1992,9,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,10,DM,Kangaroo Rat,Control,0.7741935483870968
1992,10,DO,Kangaroo Rat,Control,0.12903225806451613
1992,10,DS,Kangaroo Rat,Control,0.03225806451612903
1992,10,PF,Granivore,Control,0.12903225806451613
1992,10,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1992,10,PP,Granivore,Control,0.03225806451612903
1992,10,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,10,RM,Granivore,Control,0.06451612903225806
1992,10,RM,Granivore,Long-term Krat Exclosure,0.0967741935483871
