genus,plot_id,mean_weight
Reithrodontomys,18,11.05
Reithrodontomys,19,10.528205128205128
Reithrodontomys,20,10.712
Reithrodontomys,21,10.164102564102564
Reithrodontomys,22,9.285714285714286
Reithrodontomys,23,11.037234042553191
Reithrodontomys,24,10.639751552795031
Sigmodon,2,70.85714285714286
Sigmodon,3,65.6140350877193
Sigmodon,4,82
Sigmodon,5,82.66666666666667
Sigmodon,6,68.77777777777777
Sigmodon,9,56.5
Sigmodon,10,101
Sigmodon,11,64.05882352941177
Sigmodon,12,66.22222222222223
Sigmodon,13,74
Sigmodon,15,58
Sigmodon,17,69.13333333333334
Sigmodon,18,46.1
Sigmodon,19,67.86666666666666
Sigmodon,20,63
Sigmodon,21,71.10714285714286
Sigmodon,22,50
Sigmodon,23,199
Sigmodon,24,66.85714285714286
Spermophilus,14,130
Spermophilus,20,57
